Area Name;Year;Variable;Value
North Wilkesboro;2015;Persons Living Outside This County Five Years Ago;26
Fuquay-Varina;2015;Persons Living Outside This County Five Years Ago;1238
Mount Olive;2015;Persons Living Outside This County Five Years Ago;381
Tyrrell County;2015;Median Value of Owner Occupied Units;98800
Biscoe;2015;Median Value of Owner Occupied Units;68700
Catawba County;2015;Median Value of Owner Occupied Units;132700
Cofield;2015;Median Value of Owner Occupied Units;73600
Candor;2015;Median Value of Owner Occupied Units;86900
Harrisburg;2015;Median Value of Owner Occupied Units;228400
Angier;2015;Median Value of Owner Occupied Units;147100
Proctorville;2015;Median Value of Owner Occupied Units;97900
Kernersville;2015;Median Value of Owner Occupied Units;173300
Lincoln County;2015;Median Value of Owner Occupied Units;153200
Hemby Bridge;2015;Median Value of Owner Occupied Units;141900
Old Fort;2015;Median Value of Owner Occupied Units;83600
Roxboro;2015;Median Value of Owner Occupied Units;92800
East Laurinburg;2015;Median Value of Owner Occupied Units;40300
Hillsborough;2015;Median Value of Owner Occupied Units;192000
Polk County;2015;Median Value of Owner Occupied Units;190700
Lumber Bridge;2015;Median Value of Owner Occupied Units;131300
Pinehurst;2015;Median Value of Owner Occupied Units;284200
Gaston County;2015;Median Value of Owner Occupied Units;125100
Seaboard;2015;Median Value of Owner Occupied Units;78200
Leland;2015;Median Value of Owner Occupied Units;197700
Buncombe County;2015;Median Value of Owner Occupied Units;192400
Chatham County;2015;Median Value of Owner Occupied Units;223500
Andrews;2015;Median Value of Owner Occupied Units;56000
Ranlo;2015;Median Value of Owner Occupied Units;107500
Pamlico County;2015;Median Value of Owner Occupied Units;150800
Roper;2015;Median Value of Owner Occupied Units;65900
Parmele;2015;Median Value of Owner Occupied Units;64700
Kings Mountain;2015;Median Value of Owner Occupied Units;102900
Waco;2015;Median Value of Owner Occupied Units;83900
Ellenboro;2015;Median Value of Owner Occupied Units;75000
McDonald;2015;Median Value of Owner Occupied Units;81300
Turkey;2015;Median Value of Owner Occupied Units;95000
Rutherford College;2015;Median Value of Owner Occupied Units;137100
Winton;2015;Median Value of Owner Occupied Units;74500
Cashiers;2015;Median Value of Owner Occupied Units;272300
Fairview;2015;Median Value of Owner Occupied Units;240800
Cleveland County;2015;Median Value of Owner Occupied Units;104400
Wade;2015;Median Value of Owner Occupied Units;156300
Oak Ridge;2015;Median Value of Owner Occupied Units;323100
Pleasant Garden;2015;Median Value of Owner Occupied Units;141800
Boone;2015;Median Value of Owner Occupied Units;266000
Canton;2015;Median Value of Owner Occupied Units;132900
Madison;2015;Median Value of Owner Occupied Units;104800
Southern Pines;2015;Median Value of Owner Occupied Units;251800
Walkertown;2015;Median Value of Owner Occupied Units;126000
Tobaccoville;2015;Median Value of Owner Occupied Units;145900
Caswell County;2015;Median Value of Owner Occupied Units;98400
McFarlan;2015;Median Value of Owner Occupied Units;75000
Harrells;2015;Median Value of Owner Occupied Units;96300
Princeton;2015;Median Value of Owner Occupied Units;103500
Sanford;2015;Median Value of Owner Occupied Units;135200
Hot Springs;2015;Median Value of Owner Occupied Units;117200
Watha;2015;Median Value of Owner Occupied Units;107700
Salemburg;2015;Median Value of Owner Occupied Units;97900
Iredell County;2015;Median Value of Owner Occupied Units;166300
Lee County;2015;Median Value of Owner Occupied Units;136900
Chimney Rock;2015;Median Value of Owner Occupied Units;250000
Clarkton;2015;Median Value of Owner Occupied Units;82800
Fuquay-Varina;2015;Median Value of Owner Occupied Units;196100
Lenoir;2015;Median Value of Owner Occupied Units;105400
Maiden;2015;Median Value of Owner Occupied Units;118300
Benson;2015;Median Value of Owner Occupied Units;117600
Lake Waccamaw;2015;Median Value of Owner Occupied Units;248200
Dobson;2015;Median Value of Owner Occupied Units;115500
Askewville;2015;Median Value of Owner Occupied Units;84400
Wilkes County;2015;Median Value of Owner Occupied Units;114800
Wake County;2015;Median Value of Owner Occupied Units;234000
Fallston;2015;Median Value of Owner Occupied Units;114000
Trinity;2015;Median Value of Owner Occupied Units;124100
Wesley Chapel;2015;Median Value of Owner Occupied Units;320000
Hassell;2015;Median Value of Owner Occupied Units;42500
Leggett;2015;Median Value of Owner Occupied Units;97500
Pine Level;2015;Median Value of Owner Occupied Units;128200
Weldon;2015;Median Value of Owner Occupied Units;100600
Long View;2015;Median Value of Owner Occupied Units;84600
White Lake;2015;Median Value of Owner Occupied Units;145500
Pink Hill;2015;Median Value of Owner Occupied Units;102600
Fayetteville;2015;Median Value of Owner Occupied Units;128200
Arapahoe;2015;Median Value of Owner Occupied Units;131300
Bethania;2015;Median Value of Owner Occupied Units;164100
Reidsville;2015;Median Value of Owner Occupied Units;106800
Pinetops;2015;Median Value of Owner Occupied Units;80700
Blowing Rock;2015;Median Value of Owner Occupied Units;556900
Dallas;2015;Median Value of Owner Occupied Units;125100
Burgaw;2015;Median Value of Owner Occupied Units;130900
Surf City;2015;Median Value of Owner Occupied Units;315200
Taylortown;2015;Median Value of Owner Occupied Units;112500
Stanley;2015;Median Value of Owner Occupied Units;118500
Yadkin County;2015;Median Value of Owner Occupied Units;124400
Farmville;2015;Median Value of Owner Occupied Units;135700
Yadkinville;2015;Median Value of Owner Occupied Units;126900
Sparta;2015;Median Value of Owner Occupied Units;118500
Ahoskie;2015;Median Value of Owner Occupied Units;96300
Sampson County;2015;Median Value of Owner Occupied Units;87600
Union County;2015;Median Value of Owner Occupied Units;197400
New Bern;2015;Median Value of Owner Occupied Units;147700
Pineville;2015;Median Value of Owner Occupied Units;142200
Claremont;2015;Median Value of Owner Occupied Units;147400
Laurinburg;2015;Median Value of Owner Occupied Units;94300
Marion;2015;Median Value of Owner Occupied Units;87200
Bunn;2015;Median Value of Owner Occupied Units;102500
Robersonville;2015;Median Value of Owner Occupied Units;80000
Trenton;2015;Median Value of Owner Occupied Units;215400
Zebulon;2015;Median Value of Owner Occupied Units;127900
Everetts;2015;Median Value of Owner Occupied Units;75000
Belmont;2015;Median Value of Owner Occupied Units;149600
Kannapolis;2015;Median Value of Owner Occupied Units;122900
Beaufort;2015;Median Value of Owner Occupied Units;182100
Parkton;2015;Median Value of Owner Occupied Units;101600
Woodland;2015;Median Value of Owner Occupied Units;70600
Swansboro;2015;Median Value of Owner Occupied Units;217100
Cary;2015;Median Value of Owner Occupied Units;306200
Holly Springs;2015;Median Value of Owner Occupied Units;244100
Chocowinity;2015;Median Value of Owner Occupied Units;86900
Mitchell County;2015;Median Value of Owner Occupied Units;141100
Saluda;2015;Median Value of Owner Occupied Units;264600
Indian Beach;2015;Persons Living Outside This County Five Years Ago;23
Godwin;2015;Persons Living Outside This County Five Years Ago;0
Davidson;2015;Persons Living Outside This County Five Years Ago;1426
Spring Hope;2015;Persons Living Outside This County Five Years Ago;97
Stonewall;2015;Persons Living Outside This County Five Years Ago;12
Proctorville;2015;Persons Living Outside This County Five Years Ago;0
Fair Bluff;2015;Median Value of Owner Occupied Units;81800
Godwin;2015;Median Value of Owner Occupied Units;100000
Scotland County;2015;Median Value of Owner Occupied Units;79100
Morehead City;2015;Persons Living Outside This County Five Years Ago;824
Magnolia;2015;Persons Living Outside This County Five Years Ago;35
Foxfire;2015;Persons Living Outside This County Five Years Ago;75
Lumber Bridge;2015;Persons Living Outside This County Five Years Ago;1
Spencer;2015;Persons Living Outside This County Five Years Ago;425
Spindale;2015;Persons Living Outside This County Five Years Ago;181
Clinton;2015;Persons Living Outside This County Five Years Ago;482
Middleburg;2015;Persons Living Outside This County Five Years Ago;7
Blowing Rock;2015;Persons Living Outside This County Five Years Ago;54
Wentworth;2015;Persons Living Outside This County Five Years Ago;133
Mocksville;2015;Median Value of Owner Occupied Units;142400
Stanly County;2015;Median Value of Owner Occupied Units;128200
Grover;2015;Persons Living Outside This County Five Years Ago;0
Whiteville;2015;Persons Living Outside This County Five Years Ago;335
Fayetteville;2015;Persons Living Outside This County Five Years Ago;23294
Spencer Mountain;2015;Persons Living Outside This County Five Years Ago;0
Scotland Neck;2015;Persons Living Outside This County Five Years Ago;65
Rowland;2015;Persons Living Outside This County Five Years Ago;59
Zebulon;2015;Persons Living Outside This County Five Years Ago;206
Kingstown;2015;Median Value of Owner Occupied Units;85400
Aberdeen;2015;Median Value of Owner Occupied Units;177200
Wade;2015;Persons Living Outside This County Five Years Ago;16
Enfield;2015;Persons Living Outside This County Five Years Ago;56
Carrboro;2015;Persons Living Outside This County Five Years Ago;2966
River Bend;2015;Median Value of Owner Occupied Units;187100
Clemmons;2015;Median Value of Owner Occupied Units;203800
Franklin County;2015;Median Value of Owner Occupied Units;129500
Hertford County;2015;Median Value of Owner Occupied Units;83000
Creswell;2015;Median Value of Owner Occupied Units;97000
Fremont;2015;Median Value of Owner Occupied Units;86500
Elizabeth City;2015;Median Value of Owner Occupied Units;125300
Fountain;2015;Median Value of Owner Occupied Units;88800
Rhodhiss;2015;Median Value of Owner Occupied Units;73800
Stokesdale;2015;Median Value of Owner Occupied Units;194700
Thomasville;2015;Median Value of Owner Occupied Units;108000
Sandyfield;2015;Median Value of Owner Occupied Units;82200
Cerro Gordo;2015;Median Value of Owner Occupied Units;70000
Hope Mills;2015;Median Value of Owner Occupied Units;124100
Greensboro;2015;Median Value of Owner Occupied Units;147500
Ocean Isle Beach;2015;Median Value of Owner Occupied Units;467200
Sunset Beach;2015;Median Value of Owner Occupied Units;270300
Hudson;2015;Median Value of Owner Occupied Units;140600
Atlantic;2015;Median Value of Owner Occupied Units;141500
Albemarle;2015;Median Value of Owner Occupied Units;118000
Mount Pleasant;2015;Median Value of Owner Occupied Units;171400
Macclesfield;2015;Median Value of Owner Occupied Units;70000
Kelford;2015;Median Value of Owner Occupied Units;63300
Fletcher;2015;Median Value of Owner Occupied Units;178200
Alamance County;2015;Persons Living Outside This County Five Years Ago;9270
Grandfather;2015;Persons Living Outside This County Five Years Ago;0
Calypso;2015;Persons Living Outside This County Five Years Ago;16
Sylva;2015;Persons Living Outside This County Five Years Ago;205
Pilot Mountain;2015;Persons Living Outside This County Five Years Ago;149
Fontana Dam;2015;Persons Living Outside This County Five Years Ago;0
Currituck County;2015;Persons Living Outside This County Five Years Ago;1144
Catawba County;2015;Persons Living Outside This County Five Years Ago;8042
Chatham County;2015;Persons Living Outside This County Five Years Ago;4191
Robeson County;2015;Persons Living Outside This County Five Years Ago;5467
Chocowinity;2015;Persons Living Outside This County Five Years Ago;18
Hudson;2015;Persons Living Outside This County Five Years Ago;42
Archer Lodge;2015;Persons Living Outside This County Five Years Ago;14
Oak City;2015;Persons Living Outside This County Five Years Ago;10
Murfreesboro;2015;Persons Living Outside This County Five Years Ago;523
Raeford;2015;Persons Living Outside This County Five Years Ago;365
Como;2015;Persons Living Outside This County Five Years Ago;22
Staley;2015;Persons Living Outside This County Five Years Ago;9
Bethania;2015;Persons Living Outside This County Five Years Ago;8
Plymouth;2015;Persons Living Outside This County Five Years Ago;0
Red Cross;2015;Persons Living Outside This County Five Years Ago;19
Maiden;2015;Persons Living Outside This County Five Years Ago;238
Boiling Springs;2015;Persons Living Outside This County Five Years Ago;429
Linden;2015;Persons Living Outside This County Five Years Ago;15
Teachey;2015;Persons Living Outside This County Five Years Ago;7
Kernersville;2015;Persons Living Outside This County Five Years Ago;1517
Carthage;2015;Persons Living Outside This County Five Years Ago;287
Southern Pines;2015;Persons Living Outside This County Five Years Ago;1008
Gaston;2015;Persons Living Outside This County Five Years Ago;54
North Topsail Beach;2015;Persons Living Outside This County Five Years Ago;332
Oak Island;2015;Persons Living Outside This County Five Years Ago;613
Kittrell;2015;Median Value of Owner Occupied Units;84300
Pine Knoll Shores;2015;Persons Living Outside This County Five Years Ago;153
Mooresboro;2015;Persons Living Outside This County Five Years Ago;13
Macclesfield;2015;Persons Living Outside This County Five Years Ago;14
Halifax;2015;Persons Living Outside This County Five Years Ago;14
Kure Beach;2015;Persons Living Outside This County Five Years Ago;299
Topsail Beach;2015;Persons Living Outside This County Five Years Ago;47
Archdale;2015;Persons Living Outside This County Five Years Ago;836
McDonald;2015;Persons Living Outside This County Five Years Ago;0
Badin;2015;Persons Living Outside This County Five Years Ago;376
Dobson;2015;Persons Living Outside This County Five Years Ago;48
Walnut Creek;2015;Persons Living Outside This County Five Years Ago;25
Elm City;2015;Persons Living Outside This County Five Years Ago;31
Oak Ridge;2015;Persons Living Outside This County Five Years Ago;183
Duck;2015;Persons Living Outside This County Five Years Ago;30
Stantonsburg;2015;Median Value of Owner Occupied Units;86100
Burnsville;2015;Median Value of Owner Occupied Units;173500
Peletier;2015;Median Value of Owner Occupied Units;129600
Henderson County;2015;Population Estimate (BEA per Capita Denominator);112655
Mitchell County;2015;Population Estimate (BEA per Capita Denominator);15246
Robeson County;2015;Population Estimate (BEA per Capita Denominator);134197
Guilford County;2015;Persons Living Outside This County Five Years Ago;29180
Martin County;2015;Persons Living Outside This County Five Years Ago;823
Mecklenburg County;2015;Persons Living Outside This County Five Years Ago;74907
Stokes County;2015;Persons Living Outside This County Five Years Ago;1636
Alamance;2015;Persons Living Outside This County Five Years Ago;55
Sparta;2015;Persons Living Outside This County Five Years Ago;39
Askewville;2015;Persons Living Outside This County Five Years Ago;22
Sandy Creek;2015;Persons Living Outside This County Five Years Ago;15
Black Mountain;2015;Persons Living Outside This County Five Years Ago;482
Lenoir County;2015;Persons Living Outside This County Five Years Ago;2356
Hyde County;2015;Persons Living Outside This County Five Years Ago;602
Lee County;2015;Persons Living Outside This County Five Years Ago;4067
Pasquotank County;2015;Population Estimate (BEA per Capita Denominator);39829
Granville County;2015;Population Estimate (BEA per Capita Denominator);58674
Cumberland County;2015;Population Estimate (BEA per Capita Denominator);323838
Watauga County;2015;Persons Living Outside This County Five Years Ago;8311
Cumberland County;2015;Persons Living Outside This County Five Years Ago;31947
Onslow County;2015;Persons Living Outside This County Five Years Ago;26085
Asheville;2015;Persons Living Outside This County Five Years Ago;8589
Newport;2015;Persons Living Outside This County Five Years Ago;286
Robersonville;2015;Persons Living Outside This County Five Years Ago;138
Mount Gilead;2015;Persons Living Outside This County Five Years Ago;58
Spruce Pine;2015;Persons Living Outside This County Five Years Ago;126
Dortches;2015;Persons Living Outside This County Five Years Ago;21
Winston-Salem;2015;Persons Living Outside This County Five Years Ago;15781
Lillington;2015;Persons Living Outside This County Five Years Ago;550
Ahoskie;2015;Persons Living Outside This County Five Years Ago;366
Benson;2015;Persons Living Outside This County Five Years Ago;214
Pikeville;2015;Persons Living Outside This County Five Years Ago;82
Ronda;2015;Persons Living Outside This County Five Years Ago;5
Midland;2015;Persons Living Outside This County Five Years Ago;60
Locust;2015;Median Value of Owner Occupied Units;154200
Oakboro;2015;Median Value of Owner Occupied Units;152600
Wrightsville Beach;2015;Median Value of Owner Occupied Units;732900
Whitakers;2015;Median Value of Owner Occupied Units;73100
Spruce Pine;2015;Median Value of Owner Occupied Units;129500
Warrenton;2015;Median Value of Owner Occupied Units;143800
Summerfield;2015;Median Value of Owner Occupied Units;340600
Camden County;2015;Median Value of Owner Occupied Units;209800
Beech Mountain;2015;Median Value of Owner Occupied Units;275000
Currituck County;2015;Median Value of Owner Occupied Units;229900
Troutman;2015;Median Value of Owner Occupied Units;155900
Connelly Springs;2015;Median Value of Owner Occupied Units;99300
Halifax;2015;Median Value of Owner Occupied Units;75700
Pender County;2015;Median Value of Owner Occupied Units;153400
Jones County;2015;Median Value of Owner Occupied Units;93900
Bladenboro;2015;Median Value of Owner Occupied Units;64500
Rosman;2015;Median Value of Owner Occupied Units;139800
Sedalia;2015;Median Value of Owner Occupied Units;135200
Alliance;2015;Median Value of Owner Occupied Units;140900
Saratoga;2015;Median Value of Owner Occupied Units;83000
Norwood;2015;Median Value of Owner Occupied Units;96100
Cumberland County;2015;Median Value of Owner Occupied Units;129300
Davie County;2015;Median Value of Owner Occupied Units;169300
Greenevers;2015;Median Value of Owner Occupied Units;72700
Greene County;2015;Median Value of Owner Occupied Units;87700
Washington County;2015;Median Value of Owner Occupied Units;82700
Rockwell;2015;Median Value of Owner Occupied Units;118300
Wendell;2015;Median Value of Owner Occupied Units;127900
Sims;2015;Median Value of Owner Occupied Units;141800
Jonesville;2015;Median Value of Owner Occupied Units;98500
Gates County;2015;Population Estimate (BEA per Capita Denominator);11431
Greene County;2015;Population Estimate (BEA per Capita Denominator);21134
Jackson County;2015;Population Estimate (BEA per Capita Denominator);41265
Martin County;2015;Population Estimate (BEA per Capita Denominator);23357
Davie County;2015;Population Estimate (BEA per Capita Denominator);41753
Rockingham County;2015;Population Estimate (BEA per Capita Denominator);91758
Johnston County;2015;Persons Living Outside This County Five Years Ago;9342
Belville;2015;Persons Living Outside This County Five Years Ago;203
Ocean Isle Beach;2015;Persons Living Outside This County Five Years Ago;44
River Bend;2015;Persons Living Outside This County Five Years Ago;175
Youngsville;2015;Persons Living Outside This County Five Years Ago;247
Bethel;2015;Persons Living Outside This County Five Years Ago;24
Marietta;2015;Persons Living Outside This County Five Years Ago;2
Parkton;2015;Persons Living Outside This County Five Years Ago;33
Rosman;2015;Persons Living Outside This County Five Years Ago;37
Fremont;2015;Persons Living Outside This County Five Years Ago;34
Bath;2015;Median Value of Owner Occupied Units;208800
Chowan County;2015;Persons Living Outside This County Five Years Ago;717
Clay County;2015;Persons Living Outside This County Five Years Ago;688
Dare County;2015;Persons Living Outside This County Five Years Ago;2126
Ansonville;2015;Persons Living Outside This County Five Years Ago;9
Sunset Beach;2015;Persons Living Outside This County Five Years Ago;552
Lenoir;2015;Persons Living Outside This County Five Years Ago;727
Midway;2015;Persons Living Outside This County Five Years Ago;197
Broadway;2015;Persons Living Outside This County Five Years Ago;108
Dunn;2015;Persons Living Outside This County Five Years Ago;512
