Area Name;Year;Variable;Value
Maxton;2015;Median Value of Owner Occupied Units;76900
Alamance County;2015;Median Value of Owner Occupied Units;138100
Holden Beach;2015;Median Value of Owner Occupied Units;397100
Crossnore;2015;Median Value of Owner Occupied Units;137500
Hyde County;2015;Median Value of Owner Occupied Units;90600
Montgomery County;2015;Median Value of Owner Occupied Units;90900
Pitt County;2015;Median Value of Owner Occupied Units;135300
Belwood;2015;Median Value of Owner Occupied Units;93500
Mooresboro;2015;Median Value of Owner Occupied Units;94200
Chadbourn;2015;Median Value of Owner Occupied Units;80100
Wilson County;2015;Median Value of Owner Occupied Units;116300
Snow Hill;2015;Median Value of Owner Occupied Units;101400
Yancey County;2015;Median Value of Owner Occupied Units;140500
Swepsonville;2015;Median Value of Owner Occupied Units;193700
Midland;2015;Median Value of Owner Occupied Units;167700
Youngsville;2015;Median Value of Owner Occupied Units;171400
Spencer Mountain;2015;Median Value of Owner Occupied Units;
Garland;2015;Median Value of Owner Occupied Units;66200
Bolivia;2015;Median Value of Owner Occupied Units;
Midway;2015;Median Value of Owner Occupied Units;156200
Stoneville;2015;Median Value of Owner Occupied Units;79100
Vandemere;2015;Median Value of Owner Occupied Units;67500
Alleghany County;2015;Median Value of Owner Occupied Units;146600
Pilot Mountain;2015;Median Value of Owner Occupied Units;142600
Gibsonville;2015;Median Value of Owner Occupied Units;148000
Boiling Springs;2015;Median Value of Owner Occupied Units;157400
Greenville;2015;Median Value of Owner Occupied Units;147100
Concord;2015;Median Value of Owner Occupied Units;166300
Graham;2015;Median Value of Owner Occupied Units;120000
Morven;2015;Median Value of Owner Occupied Units;56300
Taylorsville;2015;Median Value of Owner Occupied Units;98500
Wadesboro;2015;Median Value of Owner Occupied Units;93600
Bryson City;2015;Median Value of Owner Occupied Units;115000
Weddington;2015;Median Value of Owner Occupied Units;411900
Mars Hill;2015;Median Value of Owner Occupied Units;187000
Charlotte;2015;Median Value of Owner Occupied Units;172000
Middleburg;2015;Median Value of Owner Occupied Units;73300
Sylva;2015;Median Value of Owner Occupied Units;141100
Autryville;2015;Median Value of Owner Occupied Units;92500
Dare County;2015;Median Value of Owner Occupied Units;283400
Moore County;2015;Median Value of Owner Occupied Units;199100
Cedar Rock;2015;Median Value of Owner Occupied Units;345500
Hildebran;2015;Median Value of Owner Occupied Units;127200
Erwin;2015;Median Value of Owner Occupied Units;89000
Maggie Valley;2015;Median Value of Owner Occupied Units;207000
Ellerbe;2015;Median Value of Owner Occupied Units;80800
Fairmont;2015;Median Value of Owner Occupied Units;69200
Murphy;2015;Median Value of Owner Occupied Units;139100
Brunswick;2015;Median Value of Owner Occupied Units;65500
Nags Head;2015;Median Value of Owner Occupied Units;341500
East Bend;2015;Median Value of Owner Occupied Units;111500
Badin;2015;Median Value of Owner Occupied Units;85900
Gamewell;2015;Median Value of Owner Occupied Units;108100
Speed;2015;Median Value of Owner Occupied Units;61400
Navassa;2015;Median Value of Owner Occupied Units;105400
Micro;2015;Median Value of Owner Occupied Units;85400
Tyrrell County;2015;Population Estimate (BEA per Capita Denominator);4070
Chatham County;2015;Population Estimate (BEA per Capita Denominator);70928
Tyrrell County;2015;Persons Living Outside This County Five Years Ago;522
Elon College;2015;Persons Living Outside This County Five Years Ago;1739
Newland;2015;Persons Living Outside This County Five Years Ago;0
Belhaven;2015;Persons Living Outside This County Five Years Ago;56
Mount Pleasant;2015;Persons Living Outside This County Five Years Ago;48
Durham;2015;Persons Living Outside This County Five Years Ago;25980
Whitsett;2015;Persons Living Outside This County Five Years Ago;16
Hendersonville;2015;Persons Living Outside This County Five Years Ago;1251
Statesville;2015;Persons Living Outside This County Five Years Ago;1268
Hot Springs;2015;Persons Living Outside This County Five Years Ago;76
Simpson;2015;Persons Living Outside This County Five Years Ago;12
Forest City;2015;Persons Living Outside This County Five Years Ago;279
Warrenton;2015;Persons Living Outside This County Five Years Ago;16
Wilkesboro;2015;Persons Living Outside This County Five Years Ago;366
Yadkinville;2015;Persons Living Outside This County Five Years Ago;127
Trinity;2015;Persons Living Outside This County Five Years Ago;200
Eastover;2015;Persons Living Outside This County Five Years Ago;122
Danbury;2015;Median Value of Owner Occupied Units;105000
Alexander County;2015;Persons Living Outside This County Five Years Ago;1780
Davidson County;2015;Persons Living Outside This County Five Years Ago;7398
Scotland County;2015;Persons Living Outside This County Five Years Ago;2525
Hookerton;2015;Persons Living Outside This County Five Years Ago;25
Liberty;2015;Persons Living Outside This County Five Years Ago;43
Eden;2015;Persons Living Outside This County Five Years Ago;1078
High Shoals;2015;Persons Living Outside This County Five Years Ago;29
Warsaw;2015;Persons Living Outside This County Five Years Ago;155
Chadbourn;2015;Persons Living Outside This County Five Years Ago;6
Harnett County;2015;Population Estimate (BEA per Capita Denominator);128140
Alexander County;2015;Population Estimate (BEA per Capita Denominator);37325
Richmond County;2015;Population Estimate (BEA per Capita Denominator);45437
Jones County;2015;Persons Living Outside This County Five Years Ago;670
Banner Elk;2015;Persons Living Outside This County Five Years Ago;393
Washington Park;2015;Persons Living Outside This County Five Years Ago;20
Colerain;2015;Persons Living Outside This County Five Years Ago;37
Harmony;2015;Persons Living Outside This County Five Years Ago;7
Norlina;2015;Persons Living Outside This County Five Years Ago;82
Greenevers;2015;Persons Living Outside This County Five Years Ago;103
Lewisville;2015;Persons Living Outside This County Five Years Ago;522
Woodland;2015;Persons Living Outside This County Five Years Ago;77
Farmville;2015;Persons Living Outside This County Five Years Ago;171
Landis;2015;Persons Living Outside This County Five Years Ago;113
Rutherfordton;2015;Persons Living Outside This County Five Years Ago;361
Henderson;2015;Persons Living Outside This County Five Years Ago;841
Sedalia;2015;Persons Living Outside This County Five Years Ago;13
Sampson County;2015;Population Estimate (BEA per Capita Denominator);63724
Guilford County;2015;Population Estimate (BEA per Capita Denominator);517600
Anson County;2015;Population Estimate (BEA per Capita Denominator);25759
Lenoir County;2015;Population Estimate (BEA per Capita Denominator);58106
Ashe County;2015;Persons Living Outside This County Five Years Ago;868
Davie County;2015;Persons Living Outside This County Five Years Ago;1952
Hoke County;2015;Persons Living Outside This County Five Years Ago;7140
Forsyth County;2015;Population Estimate (BEA per Capita Denominator);369019
Washington County;2015;Population Estimate (BEA per Capita Denominator);12385
Burke County;2015;Population Estimate (BEA per Capita Denominator);88842
Rowan County;2015;Persons Living Outside This County Five Years Ago;7405
Northampton County;2015;Persons Living Outside This County Five Years Ago;1759
Jackson County;2015;Persons Living Outside This County Five Years Ago;4547
Perquimans County;2015;Population Estimate (BEA per Capita Denominator);13440
Cove City;2015;Persons Living Outside This County Five Years Ago;33
New Bern;2015;Persons Living Outside This County Five Years Ago;3230
Hyde County;2015;Population Estimate (BEA per Capita Denominator);5526
Clyde;2015;Persons Living Outside This County Five Years Ago;34
Marshall;2015;Persons Living Outside This County Five Years Ago;46
Jamesville;2015;Persons Living Outside This County Five Years Ago;17
Red Springs;2015;Persons Living Outside This County Five Years Ago;346
Bermuda Run;2015;Persons Living Outside This County Five Years Ago;224
Fairview;2015;Persons Living Outside This County Five Years Ago;208
Caswell County;2015;Population Estimate (BEA per Capita Denominator);22941
Durham County;2015;Population Estimate (BEA per Capita Denominator);300952
Union County;2015;Persons Living Outside This County Five Years Ago;13263
Bath;2015;Persons Living Outside This County Five Years Ago;3
Gaston County;2015;Persons Living Outside This County Five Years Ago;9464
Cameron;2015;Persons Living Outside This County Five Years Ago;3
Hassell;2015;Persons Living Outside This County Five Years Ago;0
Parmele;2015;Persons Living Outside This County Five Years Ago;10
Pembroke;2015;Persons Living Outside This County Five Years Ago;172
Orrum;2015;Persons Living Outside This County Five Years Ago;0
Ruth;2015;Persons Living Outside This County Five Years Ago;4
Elkin;2015;Persons Living Outside This County Five Years Ago;350
Macon;2015;Persons Living Outside This County Five Years Ago;12
St. James;2015;Persons Living Outside This County Five Years Ago;506
Wilson;2015;Persons Living Outside This County Five Years Ago;2835
Rural Hall;2015;Persons Living Outside This County Five Years Ago;215
Oxford;2015;Persons Living Outside This County Five Years Ago;489
High Point;2015;Persons Living Outside This County Five Years Ago;7255
Williamston;2015;Persons Living Outside This County Five Years Ago;201
Turkey;2015;Persons Living Outside This County Five Years Ago;2
Eureka;2015;Median Value of Owner Occupied Units;115000
Marvin;2015;Median Value of Owner Occupied Units;571000
Rocky Mount;2015;Median Value of Owner Occupied Units;106000
Carteret County;2015;Median Value of Owner Occupied Units;196800
Highlands;2015;Median Value of Owner Occupied Units;541700
Biltmore Forest;2015;Median Value of Owner Occupied Units;839100
Cooleemee;2015;Median Value of Owner Occupied Units;77900
Alexander County;2015;Median Value of Owner Occupied Units;124600
Broadway;2015;Median Value of Owner Occupied Units;147200
Sawmills;2015;Median Value of Owner Occupied Units;98100
Dunn;2015;Median Value of Owner Occupied Units;108400
St. Pauls;2015;Median Value of Owner Occupied Units;70800
Caswell Beach;2015;Median Value of Owner Occupied Units;405600
Emerald Isle;2015;Median Value of Owner Occupied Units;364900
Cameron;2015;Median Value of Owner Occupied Units;95000
Pinebluff;2015;Median Value of Owner Occupied Units;158100
Nashville;2015;Median Value of Owner Occupied Units;124800
Lenoir County;2015;Median Value of Owner Occupied Units;92500
Shallotte;2015;Median Value of Owner Occupied Units;168100
Lake Park;2015;Median Value of Owner Occupied Units;181200
Mount Gilead;2015;Median Value of Owner Occupied Units;90700
Indian Trail;2015;Median Value of Owner Occupied Units;171000
Apex;2015;Median Value of Owner Occupied Units;269600
Garysburg;2015;Median Value of Owner Occupied Units;59900
Carrboro;2015;Median Value of Owner Occupied Units;324500
Glen Alpine;2015;Median Value of Owner Occupied Units;109700
St. Helena;2015;Median Value of Owner Occupied Units;136200
Richlands;2015;Median Value of Owner Occupied Units;171800
Chapel Hill;2015;Median Value of Owner Occupied Units;385100
Haw River;2015;Median Value of Owner Occupied Units;101800
Hamlet;2015;Median Value of Owner Occupied Units;96100
Lumberton;2015;Median Value of Owner Occupied Units;102500
Orrum;2015;Median Value of Owner Occupied Units;
Raynham;2015;Median Value of Owner Occupied Units;72000
Washington Park;2015;Median Value of Owner Occupied Units;241300
Colerain;2015;Median Value of Owner Occupied Units;77700
Person County;2015;Median Value of Owner Occupied Units;115500
Swain County;2015;Median Value of Owner Occupied Units;126700
Spring Hope;2015;Median Value of Owner Occupied Units;91800
Bridgeton;2015;Median Value of Owner Occupied Units;161000
Beulaville;2015;Median Value of Owner Occupied Units;130700
Whitsett;2015;Median Value of Owner Occupied Units;186100
Goldston;2015;Median Value of Owner Occupied Units;138000
Delview;2015;Median Value of Owner Occupied Units;
Surry County;2015;Population Estimate (BEA per Capita Denominator);72743
Pitt County;2015;Population Estimate (BEA per Capita Denominator);175842
Lincoln County;2015;Persons Living Outside This County Five Years Ago;4949
Nash County;2015;Persons Living Outside This County Five Years Ago;5952
Perquimans County;2015;Persons Living Outside This County Five Years Ago;933
Aurora;2015;Persons Living Outside This County Five Years Ago;7
White Lake;2015;Persons Living Outside This County Five Years Ago;150
Northwest;2015;Persons Living Outside This County Five Years Ago;352
Navassa;2015;Persons Living Outside This County Five Years Ago;116
Coats;2015;Persons Living Outside This County Five Years Ago;175
Canton;2015;Persons Living Outside This County Five Years Ago;120
Cary;2015;Persons Living Outside This County Five Years Ago;12923
Garner;2015;Persons Living Outside This County Five Years Ago;1306
Peletier;2015;Persons Living Outside This County Five Years Ago;67
Transylvania County;2015;Population Estimate (BEA per Capita Denominator);33211
Caldwell County;2015;Persons Living Outside This County Five Years Ago;3129
Camden County;2015;Persons Living Outside This County Five Years Ago;730
Taylorsville;2015;Persons Living Outside This County Five Years Ago;268
Surry County;2015;Persons Living Outside This County Five Years Ago;2080
Lilesville;2015;Persons Living Outside This County Five Years Ago;15
Varnamtown;2015;Persons Living Outside This County Five Years Ago;10
Star;2015;Persons Living Outside This County Five Years Ago;18
Vass;2015;Persons Living Outside This County Five Years Ago;25
Roanoke Rapids;2015;Persons Living Outside This County Five Years Ago;831
Cashiers;2015;Persons Living Outside This County Five Years Ago;0
Asheboro;2015;Persons Living Outside This County Five Years Ago;1144
Stoneville;2015;Persons Living Outside This County Five Years Ago;4
Salisbury;2015;Persons Living Outside This County Five Years Ago;3571
Richfield;2015;Persons Living Outside This County Five Years Ago;28
Wagram;2015;Persons Living Outside This County Five Years Ago;63
Beulaville;2015;Persons Living Outside This County Five Years Ago;94
Jonesville;2015;Persons Living Outside This County Five Years Ago;235
Marvin;2015;Persons Living Outside This County Five Years Ago;380
Conetoe;2015;Median Value of Owner Occupied Units;67900
Pamlico County;2015;Persons Living Outside This County Five Years Ago;1153
Burlington;2015;Persons Living Outside This County Five Years Ago;2986
Southport;2015;Persons Living Outside This County Five Years Ago;241
Norlina;2015;Median Value of Owner Occupied Units;72600
Beaufort;2015;Persons Living Outside This County Five Years Ago;295
Spring Lake;2015;Persons Living Outside This County Five Years Ago;2802
Southern Shores;2015;Persons Living Outside This County Five Years Ago;198
Hertford;2015;Persons Living Outside This County Five Years Ago;333
Lumberton;2015;Persons Living Outside This County Five Years Ago;1554
Holly Springs;2015;Persons Living Outside This County Five Years Ago;1293
Knightdale;2015;Persons Living Outside This County Five Years Ago;1121
Seven Springs;2015;Persons Living Outside This County Five Years Ago;27
Pantego;2015;Median Value of Owner Occupied Units;83000
Dover;2015;Persons Living Outside This County Five Years Ago;15
Cherryville;2015;Persons Living Outside This County Five Years Ago;232
Troutman;2015;Persons Living Outside This County Five Years Ago;45
Wilmington;2015;Persons Living Outside This County Five Years Ago;12087
Hoffman;2015;Persons Living Outside This County Five Years Ago;55
Bogue;2015;Persons Living Outside This County Five Years Ago;59
Henderson;2015;Median Value of Owner Occupied Units;100200
Edgecombe County;2015;Population Estimate (BEA per Capita Denominator);54150
Cabarrus County;2015;Population Estimate (BEA per Capita Denominator);196762
Cherokee County;2015;Population Estimate (BEA per Capita Denominator);27178
Elizabethtown;2015;Persons Living Outside This County Five Years Ago;171
Harrellsville;2015;Median Value of Owner Occupied Units;125000
Moore County;2015;Population Estimate (BEA per Capita Denominator);94352
Topsail Beach;2015;Median Value of Owner Occupied Units;440600
Madison County;2015;Population Estimate (BEA per Capita Denominator);21139
Buncombe County;2015;Persons Living Outside This County Five Years Ago;18210
Sampson County;2015;Persons Living Outside This County Five Years Ago;3879
Weaverville;2015;Persons Living Outside This County Five Years Ago;175
Hayesville;2015;Persons Living Outside This County Five Years Ago;35
Gibsonville;2015;Persons Living Outside This County Five Years Ago;335
Stovall;2015;Persons Living Outside This County Five Years Ago;39
Gold Point;2015;Persons Living Outside This County Five Years Ago;4039
Everetts;2015;Persons Living Outside This County Five Years Ago;8
Sanford;2015;Persons Living Outside This County Five Years Ago;2241
Hope Mills;2015;Persons Living Outside This County Five Years Ago;1333
Mount Airy;2015;Persons Living Outside This County Five Years Ago;424
Danbury;2015;Persons Living Outside This County Five Years Ago;30
Oakboro;2015;Persons Living Outside This County Five Years Ago;57
Salisbury;2015;Median Value of Owner Occupied Units;121600
Spencer;2015;Median Value of Owner Occupied Units;99700
Morven;2015;Persons Living Outside This County Five Years Ago;15
Kannapolis;2015;Persons Living Outside This County Five Years Ago;2971
Bridgeton;2015;Persons Living Outside This County Five Years Ago;28
Littleton;2015;Persons Living Outside This County Five Years Ago;32
Waynesville;2015;Persons Living Outside This County Five Years Ago;971
Hamilton;2015;Persons Living Outside This County Five Years Ago;0
Saluda;2015;Persons Living Outside This County Five Years Ago;31
East Laurinburg;2015;Persons Living Outside This County Five Years Ago;22
Germanton;2015;Persons Living Outside This County Five Years Ago;87
Brevard;2015;Persons Living Outside This County Five Years Ago;661
Wendell;2015;Persons Living Outside This County Five Years Ago;183
Raleigh;2015;Persons Living Outside This County Five Years Ago;34380
Harnett County;2015;Median Value of Owner Occupied Units;135400
Murphy;2015;Persons Living Outside This County Five Years Ago;126
Speed;2015;Persons Living Outside This County Five Years Ago;4
Gatesville;2015;Persons Living Outside This County Five Years Ago;12
Winton;2015;Persons Living Outside This County Five Years Ago;56
Micro;2015;Persons Living Outside This County Five Years Ago;4
Sims;2015;Persons Living Outside This County Five Years Ago;13
Pleasant Garden;2015;Persons Living Outside This County Five Years Ago;151
Misenheimer;2015;Persons Living Outside This County Five Years Ago;298
Rolesville;2015;Median Value of Owner Occupied Units;246500
Morrisville;2015;Median Value of Owner Occupied Units;279400
Jacksonville;2015;Median Value of Owner Occupied Units;153200
East Spencer;2015;Median Value of Owner Occupied Units;95700
Faison;2015;Median Value of Owner Occupied Units;73800
Whiteville;2015;Median Value of Owner Occupied Units;97100
Lake Lure;2015;Median Value of Owner Occupied Units;306500
Elm City;2015;Median Value of Owner Occupied Units;85100
Catawba;2015;Median Value of Owner Occupied Units;87500
Marietta;2015;Median Value of Owner Occupied Units;61300
Clay County;2015;Median Value of Owner Occupied Units;147900
Gates County;2015;Median Value of Owner Occupied Units;144300
Jackson County;2015;Median Value of Owner Occupied Units;171900
Dobbins Heights;2015;Median Value of Owner Occupied Units;54900
Winfall;2015;Median Value of Owner Occupied Units;147400
Tar Heel;2015;Median Value of Owner Occupied Units;61300
Lasker;2015;Median Value of Owner Occupied Units;77000
Dundarrach;2015;Median Value of Owner Occupied Units;
Granite Quarry;2015;Median Value of Owner Occupied Units;145100
Murfreesboro;2015;Median Value of Owner Occupied Units;128800
Lowell;2015;Median Value of Owner Occupied Units;116900
Watauga County;2015;Population Estimate (BEA per Capita Denominator);52906
Franklin County;2015;Persons Living Outside This County Five Years Ago;4163
Holden Beach;2015;Persons Living Outside This County Five Years Ago;54
Cape Carteret;2015;Persons Living Outside This County Five Years Ago;116
Tabor City;2015;Persons Living Outside This County Five Years Ago;1016
Vanceboro;2015;Persons Living Outside This County Five Years Ago;110
Harrellsville;2015;Persons Living Outside This County Five Years Ago;13
Matthews;2015;Persons Living Outside This County Five Years Ago;2043
Candor;2015;Persons Living Outside This County Five Years Ago;58
Lasker;2015;Persons Living Outside This County Five Years Ago;0
Hamilton;2015;Median Value of Owner Occupied Units;63200
Bakersville;2015;Median Value of Owner Occupied Units;170800
Earl;2015;Median Value of Owner Occupied Units;94300
Star;2015;Median Value of Owner Occupied Units;78200
Bertie County;2015;Median Value of Owner Occupied Units;78400
Brunswick County;2015;Median Value of Owner Occupied Units;182500
Dortches;2015;Median Value of Owner Occupied Units;170600
Durham;2015;Median Value of Owner Occupied Units;182000
Kinston;2015;Median Value of Owner Occupied Units;102100
Craven County;2015;Median Value of Owner Occupied Units;154500
Scotland Neck;2015;Median Value of Owner Occupied Units;69100
Nash County;2015;Median Value of Owner Occupied Units;118600
Durham County;2015;Median Value of Owner Occupied Units;183800
Graham County;2015;Median Value of Owner Occupied Units;120700
Morganton;2015;Median Value of Owner Occupied Units;127700
Southern Shores;2015;Median Value of Owner Occupied Units;437400
Wallace;2015;Median Value of Owner Occupied Units;129400
Ansonville;2015;Median Value of Owner Occupied Units;63000
Cajahs Mountain;2015;Median Value of Owner Occupied Units;114000
Columbia;2015;Median Value of Owner Occupied Units;97500
Atkinson;2015;Median Value of Owner Occupied Units;93700
Faith;2015;Median Value of Owner Occupied Units;163300
Bostic;2015;Median Value of Owner Occupied Units;89400
Clinton;2015;Median Value of Owner Occupied Units;120100
Edgecombe County;2015;Median Value of Owner Occupied Units;82200
Newland;2015;Median Value of Owner Occupied Units;127100
Eden;2015;Median Value of Owner Occupied Units;81600
Flat Rock;2015;Median Value of Owner Occupied Units;373400
Laurel Park;2015;Median Value of Owner Occupied Units;253700
Robbins;2015;Median Value of Owner Occupied Units;83500
Elizabethtown;2015;Median Value of Owner Occupied Units;91300
Mills River;2015;Median Value of Owner Occupied Units;216200
Davidson County;2015;Median Value of Owner Occupied Units;132200
Jamesville;2015;Median Value of Owner Occupied Units;89500
Minnesott Beach;2015;Median Value of Owner Occupied Units;204000
Gibson;2015;Median Value of Owner Occupied Units;73300
Wagram;2015;Median Value of Owner Occupied Units;68900
Stanfield;2015;Median Value of Owner Occupied Units;142900
King;2015;Median Value of Owner Occupied Units;140800
Stallings;2015;Median Value of Owner Occupied Units;215700
Jackson;2015;Median Value of Owner Occupied Units;90800
Halifax County;2015;Median Value of Owner Occupied Units;86600
High Shoals;2015;Median Value of Owner Occupied Units;87700
Franklinville;2015;Median Value of Owner Occupied Units;68100
Watauga County;2015;Median Value of Owner Occupied Units;231700
Polkville;2015;Median Value of Owner Occupied Units;105600
Warren County;2015;Median Value of Owner Occupied Units;96400
New London;2015;Median Value of Owner Occupied Units;144400
Elk Park;2015;Median Value of Owner Occupied Units;88200
Aurora;2015;Median Value of Owner Occupied Units;90200
Swain County;2015;Population Estimate (BEA per Capita Denominator);14434
Wilkes County;2015;Population Estimate (BEA per Capita Denominator);68502
Yadkin County;2015;Population Estimate (BEA per Capita Denominator);37585
Yancey County;2015;Population Estimate (BEA per Capita Denominator);17587
Carteret County;2015;Population Estimate (BEA per Capita Denominator);68879
Polk County;2015;Population Estimate (BEA per Capita Denominator);20366
Duplin County;2015;Population Estimate (BEA per Capita Denominator);59159
Cherokee County;2015;Persons Living Outside This County Five Years Ago;1343
Henderson County;2015;Persons Living Outside This County Five Years Ago;7617
Elk Park;2015;Persons Living Outside This County Five Years Ago;20
Washington;2015;Persons Living Outside This County Five Years Ago;462
Leland;2015;Persons Living Outside This County Five Years Ago;2759
Connelly Springs;2015;Persons Living Outside This County Five Years Ago;143
Conover;2015;Persons Living Outside This County Five Years Ago;343
Kingstown;2015;Persons Living Outside This County Five Years Ago;3
Denton;2015;Persons Living Outside This County Five Years Ago;72
Walkertown;2015;Persons Living Outside This County Five Years Ago;124
Jamestown;2015;Persons Living Outside This County Five Years Ago;38
Kenly;2015;Persons Living Outside This County Five Years Ago;53
Beargrass;2015;Persons Living Outside This County Five Years Ago;1
Red Oak;2015;Persons Living Outside This County Five Years Ago;99
Garysburg;2015;Persons Living Outside This County Five Years Ago;102
Newton Grove;2015;Persons Living Outside This County Five Years Ago;30
Boone;2015;Persons Living Outside This County Five Years Ago;6053
Rutherford County;2015;Population Estimate (BEA per Capita Denominator);66390
Polk County;2015;Persons Living Outside This County Five Years Ago;917
Atlantic Beach;2015;Persons Living Outside This County Five Years Ago;161
Pinehurst;2015;Persons Living Outside This County Five Years Ago;1099
Robbinsville;2015;Persons Living Outside This County Five Years Ago;32
Reidsville;2015;Persons Living Outside This County Five Years Ago;531
China Grove;2015;Persons Living Outside This County Five Years Ago;222
Stallings;2015;Persons Living Outside This County Five Years Ago;1071
Louisburg;2015;Persons Living Outside This County Five Years Ago;328
Carolina Shores;2015;Persons Living Outside This County Five Years Ago;227
Lee County;2015;Population Estimate (BEA per Capita Denominator);59660
McDowell County;2015;Persons Living Outside This County Five Years Ago;1658
Hildebran;2015;Persons Living Outside This County Five Years Ago;133
Wake County;2015;Population Estimate (BEA per Capita Denominator);1024198
North Carolina;2015;Persons Living Outside This County Five Years Ago;672944
Wilkes County;2015;Persons Living Outside This County Five Years Ago;1780
Northampton County;2015;Median Value of Owner Occupied Units;82500
Liberty;2015;Median Value of Owner Occupied Units;109100
Foxfire;2015;Median Value of Owner Occupied Units;247600
Columbus County;2015;Median Value of Owner Occupied Units;83900
Granite Falls;2015;Median Value of Owner Occupied Units;131800
Yanceyville;2015;Median Value of Owner Occupied Units;86700
Black Mountain;2015;Median Value of Owner Occupied Units;186100
Weaverville;2015;Median Value of Owner Occupied Units;243700
Lattimore;2015;Median Value of Owner Occupied Units;93900
Beargrass;2015;Median Value of Owner Occupied Units;85000
Randolph County;2015;Median Value of Owner Occupied Units;120700
Burke County;2015;Median Value of Owner Occupied Units;113100
Dublin;2015;Median Value of Owner Occupied Units;75500
North Topsail Beach;2015;Median Value of Owner Occupied Units;278700
Eastover;2015;Median Value of Owner Occupied Units;157700
Franklin County;2015;Population Estimate (BEA per Capita Denominator);63710
Halifax County;2015;Population Estimate (BEA per Capita Denominator);52456
Edgecombe County;2015;Persons Living Outside This County Five Years Ago;3441
Bald Head Island;2015;Persons Living Outside This County Five Years Ago;4
Rose Hill;2015;Persons Living Outside This County Five Years Ago;89
Mint Hill;2015;Persons Living Outside This County Five Years Ago;1116
Winterville;2015;Persons Living Outside This County Five Years Ago;155
Monroe;2015;Persons Living Outside This County Five Years Ago;1888
Burnsville;2015;Persons Living Outside This County Five Years Ago;162
Carolina Shores;2015;Median Value of Owner Occupied Units;187200
Brookford;2015;Persons Living Outside This County Five Years Ago;29
Stanley;2015;Persons Living Outside This County Five Years Ago;160
Selma;2015;Persons Living Outside This County Five Years Ago;397
Alliance;2015;Persons Living Outside This County Five Years Ago;18
East Spencer;2015;Persons Living Outside This County Five Years Ago;35
Seven Springs;2015;Median Value of Owner Occupied Units;75800
Oriental;2015;Median Value of Owner Occupied Units;282800
Holly Ridge;2015;Median Value of Owner Occupied Units;164000
Siler City;2015;Median Value of Owner Occupied Units;99000
Lewisville;2015;Median Value of Owner Occupied Units;187500
Louisburg;2015;Median Value of Owner Occupied Units;116100
Mount Holly;2015;Median Value of Owner Occupied Units;158900
Tabor City;2015;Median Value of Owner Occupied Units;85400
Ayden;2015;Median Value of Owner Occupied Units;88400
Hayesville;2015;Median Value of Owner Occupied Units;138700
Grover;2015;Median Value of Owner Occupied Units;102600
Milton;2015;Median Value of Owner Occupied Units;100000
Alamance;2015;Median Value of Owner Occupied Units;264900
Powellsville;2015;Median Value of Owner Occupied Units;60000
Lincolnton;2015;Median Value of Owner Occupied Units;131500
Williamston;2015;Median Value of Owner Occupied Units;92500
Cornelius;2015;Median Value of Owner Occupied Units;239900
Monroe;2015;Median Value of Owner Occupied Units;144600
Transylvania County;2015;Median Value of Owner Occupied Units;192000
Pollocksville;2015;Median Value of Owner Occupied Units;111100
Mineral Springs;2015;Median Value of Owner Occupied Units;169400
Misenheimer;2015;Median Value of Owner Occupied Units;116500
Seagrove;2015;Median Value of Owner Occupied Units;96400
Stonewall;2015;Median Value of Owner Occupied Units;76400
Rowland;2015;Median Value of Owner Occupied Units;60300
Rutherfordton;2015;Median Value of Owner Occupied Units;151400
Mount Airy;2015;Median Value of Owner Occupied Units;130400
Brevard;2015;Median Value of Owner Occupied Units;189000
Boonville;2015;Median Value of Owner Occupied Units;128900
Wentworth;2015;Median Value of Owner Occupied Units;121600
Randleman;2015;Median Value of Owner Occupied Units;119600
Middlesex;2015;Median Value of Owner Occupied Units;98400
Pittsboro;2015;Median Value of Owner Occupied Units;204000
Coats;2015;Median Value of Owner Occupied Units;97500
Oak City;2015;Median Value of Owner Occupied Units;75800
Southport;2015;Median Value of Owner Occupied Units;246800
Sandy Creek;2015;Median Value of Owner Occupied Units;114300
Hoffman;2015;Median Value of Owner Occupied Units;69300
Pembroke;2015;Median Value of Owner Occupied Units;102300
Cape Carteret;2015;Median Value of Owner Occupied Units;262500
Newton;2015;Median Value of Owner Occupied Units;110600
Red Oak;2015;Median Value of Owner Occupied Units;216900
Winston-Salem;2015;Median Value of Owner Occupied Units;141100
Madison County;2015;Median Value of Owner Occupied Units;159900
Duplin County;2015;Median Value of Owner Occupied Units;87900
Haywood County;2015;Median Value of Owner Occupied Units;161300
Asheville;2015;Median Value of Owner Occupied Units;199800
Unionville;2015;Median Value of Owner Occupied Units;187500
Garner;2015;Median Value of Owner Occupied Units;164700
Hertford;2015;Median Value of Owner Occupied Units;113600
Bailey;2015;Median Value of Owner Occupied Units;94500
Franklin;2015;Median Value of Owner Occupied Units;148600
Germanton;2015;Median Value of Owner Occupied Units;106600
Walstonburg;2015;Median Value of Owner Occupied Units;86400
Rennert;2015;Median Value of Owner Occupied Units;70400
Sharpsburg;2015;Median Value of Owner Occupied Units;78800
Chowan County;2015;Median Value of Owner Occupied Units;135900
Kitty Hawk;2015;Median Value of Owner Occupied Units;307300
Manteo;2015;Median Value of Owner Occupied Units;313800
Denton;2015;Median Value of Owner Occupied Units;94400
